sid,cid,Semester,Grade,GPA
205,65,2,C+,2.11
902,65,2,C,1.49
205,68,2,D,2.11
226,68,2,D,2.05
601,68,2,D,2.78
616,68,2,D+,2.78
902,68,2,D,1.49
39,80,2,A,3.52
119,80,2,A,3.55
135,80,2,A-,2.97
136,80,2,A,2.9
237,80,2,B-,3.58
242,80,2,B,2.18
272,80,2,B,2.96
354,80,2,B,3.73
391,80,2,A-,2.5
566,80,2,A-,2.87
573,80,2,C+,2.27
616,80,2,B-,2.78
703,80,2,C+,0.76
746,80,2,A,3.48
846,80,2,A,3.91
936,80,2,A,2.62
1057,80,2,C+,1.01
1068,80,2,A,3.75
210,95,2,B-,2.6
902,109,2,P(103),1.49
39,111,2,B,3.52
119,111,2,B+,3.55
135,111,2,A,2.97
136,111,2,B-,2.9
210,111,2,B,2.6
226,111,2,C,2.05
237,111,2,A,3.58
242,111,2,C+,2.18
272,111,2,A-,2.96
354,111,2,A,3.73
391,111,2,D+,2.5
431,111,2,C,2.06
573,111,2,C,2.27
601,111,2,C-,2.78
616,111,2,B,2.78
746,111,2,A,3.48
846,111,2,A,3.91
980,111,2,C+,2.11
1057,111,2,D,1.01
1068,111,2,A,3.75
39,154,2,B-,3.52
119,154,2,C,3.55
135,154,2,D,2.97
136,154,2,I,2.9
237,154,2,B,3.58
242,154,2,C-,2.18
272,154,2,C,2.96
354,154,2,A,3.73
391,154,2,A,2.5
431,154,2,C-,2.06
573,154,2,D,2.27
601,154,2,D+,2.78
616,154,2,B-,2.78
746,154,2,C+,3.48
846,154,2,A,3.91
980,154,2,C+,2.11
1068,154,2,B+,3.75
566,167,2,A,2.87
703,167,2,B-,0.76
205,173,2,P,2.11
566,220,2,B+,2.87
703,220,2,D+,0.76
902,260,2,B-,1.49
936,260,2,B+,2.62
39,269,2,B-,3.52
119,269,2,B-,3.55
135,269,2,W,2.97
136,269,2,W,2.9
237,269,2,B,3.58
242,269,2,F,2.18
272,269,2,B-,2.96
354,269,2,W,3.73
391,269,2,C-,2.5
431,269,2,W,2.06
573,269,2,D,2.27
601,269,2,W,2.78
616,269,2,C,2.78
746,269,2,C,3.48
846,269,2,B+,3.91
980,269,2,W,2.11
1068,269,2,B-,3.75
566,285,2,B,2.87
210,317,2,A,2.6
205,330,2,B,2.11
226,330,2,C+,2.05
902,330,2,B-,1.49
936,330,2,C,2.62
1057,330,2,F,1.01
566,358,2,C+,2.87
703,358,2,D,0.76
226,80,3,A,2.05
980,80,3,A,2.11
205,265,3,D+,2.11
1057,265,3,F,1.01
573,358,3,C+,2.27
703,14,4,F(2),0.76
39,22,4,A,3.52
119,22,4,A,3.55
135,22,4,B,2.97
237,22,4,A,3.58
242,22,4,C-,2.18
272,22,4,C-,2.96
354,22,4,A,3.73
391,22,4,C+,2.5
431,22,4,C-,2.06
573,22,4,D+,2.27
601,22,4,D,2.78
616,22,4,B,2.78
746,22,4,C,3.48
846,22,4,A,3.91
980,22,4,B-,2.11
130,35,4,D,1.72
218,35,4,C+,2.81
242,35,4,W,2.18
350,35,4,D,1.97
364,35,4,B+,2.65
453,35,4,D,2.4
573,35,4,D,2.27
582,35,4,F,2.07
607,35,4,D+,1.48
677,35,4,A-,2.26
683,35,4,F(2),0
795,35,4,C,1.93
831,35,4,I,2.46
1123,35,4,F(2),0
1211,35,4,B-,2.26
210,46,4,A,2.6
601,61,4,P,2.78
210,72,4,D+,2.6
210,88,4,D+,2.6
391,88,4,C,2.5
431,88,4,W,2.06
703,88,4,F(2),0.76
902,88,4,C+,1.49
936,88,4,C-,2.62
1057,88,4,F,1.01
703,96,4,F(2),0.76
130,133,4,P,1.72
205,133,4,W,2.11
218,133,4,P,2.81
350,133,4,P,1.97
453,133,4,P,2.4
582,133,4,P,2.07
607,133,4,P,1.48
677,133,4,P,2.26
683,133,4,F(2),0
831,133,4,P,2.46
1123,133,4,F(2),0
1211,133,4,P,2.26
39,138,4,A,3.52
119,138,4,A-,3.55
130,138,4,F,1.72
135,138,4,A,2.97
136,138,4,C+,2.9
205,138,4,F(2),2.11
218,138,4,B-,2.81
237,138,4,B+,3.58
242,138,4,D,2.18
272,138,4,B,2.96
350,138,4,C,1.97
354,138,4,B+,3.73
391,138,4,C,2.5
431,138,4,D+,2.06
453,138,4,F,2.4
573,138,4,C-,2.27
582,138,4,F,2.07
601,138,4,F,2.78
607,138,4,D+,1.48
616,138,4,B,2.78
677,138,4,D+,2.26
683,138,4,F(2),0
746,138,4,B,3.48
831,138,4,F,2.46
902,138,4,D,1.49
936,138,4,C,2.62
980,138,4,B-,2.11
1057,138,4,F,1.01
1211,138,4,D+,2.26
364,173,4,P,2.65
795,173,4,P,1.93
703,176,4,F(2),0.76
210,241,4,B-,2.6
39,242,4,A,3.52
119,242,4,A,3.55
135,242,4,B-,2.97
136,242,4,B-,2.9
205,242,4,F(2),2.11
226,242,4,C+,2.05
237,242,4,A,3.58
242,242,4,C-,2.18
272,242,4,B-,2.96
354,242,4,A,3.73
391,242,4,B,2.5
431,242,4,C-,2.06
573,242,4,D,2.27
601,242,4,C-,2.78
616,242,4,C+,2.78
746,242,4,B-,3.48
846,242,4,A,3.91
902,242,4,D+,1.49
936,242,4,C+,2.62
980,242,4,C+,2.11
136,252,4,C-,2.9
226,252,4,B-,2.05
902,252,4,F,1.49
936,252,4,C-,2.62
130,260,4,B-,1.72
218,260,4,B+,2.81
350,260,4,C+,1.97
364,260,4,B+,2.65
453,260,4,C+,2.4
582,260,4,A,2.07
607,260,4,B,1.48
677,260,4,B,2.26
683,260,4,F(2),0
795,260,4,B,1.93
831,260,4,B+,2.46
1123,260,4,F(2),0
1211,260,4,B,2.26
39,313,4,A,3.52
119,313,4,A,3.55
135,313,4,A-,2.97
136,313,4,A,2.9
205,313,4,D+,2.11
226,313,4,B+,2.05
237,313,4,A,3.58
272,313,4,B-,2.96
354,313,4,B,3.73
391,313,4,D,2.5
431,313,4,C-,2.06
601,313,4,D,2.78
616,313,4,C,2.78
746,313,4,A,3.48
846,313,4,W,3.91
902,313,4,D+,1.49
936,313,4,C-,2.62
980,313,4,B,2.11
1057,313,4,F,1.01
130,328,4,C-,1.72
218,328,4,B-,2.81
350,328,4,D,1.97
453,328,4,D,2.4
582,328,4,C,2.07
607,328,4,C+,1.48
677,328,4,C-,2.26
683,328,4,F(2),0
831,328,4,D+,2.46
1123,328,4,F(2),0
1211,328,4,B,2.26
39,346,4,A,3.52
119,346,4,B+,3.55
135,346,4,B,2.97
136,346,4,A-,2.9
205,346,4,W,2.11
210,346,4,C,2.6
226,346,4,C-,2.05
237,346,4,A,3.58
242,346,4,D,2.18
272,346,4,A-,2.96
354,346,4,B,3.73
391,346,4,F,2.5
431,346,4,C-,2.06
573,346,4,C,2.27
601,346,4,F,2.78
616,346,4,C,2.78
746,346,4,B,3.48
846,346,4,W,3.91
980,346,4,B-,2.11
1057,346,4,F,1.01
39,23,5,A-,3.52
119,23,5,A,3.55
135,23,5,A,2.97
136,23,5,B+,2.9
226,23,5,B-,2.05
237,23,5,A,3.58
242,23,5,B,2.18
272,23,5,B+,2.96
354,23,5,A-,3.73
573,23,5,B+,2.27
616,23,5,B-,2.78
746,23,5,B-,3.48
846,23,5,A,3.91
902,23,5,C-,1.49
936,23,5,B,2.62
980,23,5,C-,2.11
276,35,5,C-,1.77
339,35,5,C-,1.63
403,35,5,F,0.18
531,35,5,C+,2.43
821,35,5,D+,1.81
1048,35,5,D,1.76
1172,35,5,B,1.5
39,43,5,B+,3.52
119,43,5,A-,3.55
135,43,5,B-,2.97
136,43,5,C+,2.9
205,43,5,D,2.11
210,43,5,C-,2.6
226,43,5,D,2.05
237,43,5,B+,3.58
272,43,5,C+,2.96
354,43,5,B,3.73
391,43,5,F(3),2.5
431,43,5,D,2.06
601,43,5,B-,2.78
616,43,5,B-,2.78
746,43,5,A-,3.48
846,43,5,A-,3.91
902,43,5,F,1.49
980,43,5,F,2.11
902,80,5,B-,1.49
1053,80,5,B,1.23
218,88,5,B-,2.81
582,88,5,C+,2.07
607,88,5,W,1.48
831,88,5,B-,2.46
1057,88,5,C-,1.01
1211,88,5,C-,2.26
39,101,5,B-,3.52
119,101,5,B+,3.55
135,101,5,C,2.97
136,101,5,C-,2.9
210,101,5,D,2.6
226,101,5,C+,2.05
237,101,5,A-,3.58
242,101,5,C-,2.18
272,101,5,B,2.96
354,101,5,A,3.73
391,101,5,B-,2.5
431,101,5,D,2.06
573,101,5,D,2.27
601,101,5,C,2.78
616,101,5,B,2.78
746,101,5,B+,3.48
846,101,5,A,3.91
902,101,5,F,1.49
980,101,5,C-,2.11
205,138,5,B,2.11
276,138,5,C-,1.77
339,138,5,C-,1.63
364,138,5,B+,2.65
403,138,5,F,0.18
531,138,5,C+,2.43
795,138,5,C-,1.93
1048,138,5,B-,1.76
1057,138,5,F,1.01
821,173,5,P,1.81
1172,173,5,F,1.5
39,218,5,A,3.52
272,218,5,B+,2.96
391,218,5,B+,2.5
431,218,5,D+,2.06
205,227,5,D,2.11
276,227,5,C-,1.77
339,227,5,D,1.63
364,227,5,D+,2.65
403,227,5,F,0.18
531,227,5,C+,2.43
795,227,5,D+,1.93
1048,227,5,B-,1.76
39,247,5,A,3.52
119,247,5,A,3.55
135,247,5,B+,2.97
136,247,5,D+,2.9
210,247,5,A-,2.6
226,247,5,B+,2.05
237,247,5,A,3.58
242,247,5,C+,2.18
272,247,5,B,2.96
354,247,5,A,3.73
391,247,5,B-,2.5
431,247,5,I,2.06
573,247,5,B-,2.27
601,247,5,B+,2.78
616,247,5,B+,2.78
746,247,5,B+,3.48
846,247,5,A,3.91
936,247,5,C-,2.62
980,247,5,F(3),2.11
902,252,5,D,1.49
39,253,5,B+,3.52
119,253,5,A,3.55
135,253,5,B,2.97
136,253,5,C+,2.9
210,253,5,C+,2.6
226,253,5,B-,2.05
237,253,5,B-,3.58
242,253,5,C-,2.18
272,253,5,B-,2.96
354,253,5,A-,3.73
391,253,5,A,2.5
431,253,5,C-,2.06
573,253,5,D+,2.27
601,253,5,C+,2.78
616,253,5,B+,2.78
746,253,5,C-,3.48
846,253,5,A,3.91
936,253,5,C-,2.62
980,253,5,C-,2.11
130,257,5,C-,1.72
218,257,5,B,2.81
350,257,5,C,1.97
453,257,5,C+,2.4
582,257,5,C+,2.07
607,257,5,C-,1.48
677,257,5,C+,2.26
831,257,5,C+,2.46
1211,257,5,C+,2.26
276,260,5,B-,1.77
339,260,5,F,1.63
403,260,5,D,0.18
531,260,5,B,2.43
821,260,5,C,1.81
1048,260,5,C+,1.76
1172,260,5,F,1.5
130,265,5,F,1.72
218,265,5,B+,2.81
350,265,5,D,1.97
453,265,5,F,2.4
582,265,5,D+,2.07
607,265,5,F,1.48
677,265,5,C,2.26
831,265,5,C,2.46
1211,265,5,C+,2.26
130,313,5,F,1.72
218,313,5,B+,2.81
350,313,5,C-,1.97
364,313,5,A,2.65
453,313,5,B,2.4
607,313,5,D,1.48
677,313,5,C,2.26
795,313,5,B-,1.93
1053,313,5,F,1.23
1057,313,5,F,1.01
1211,313,5,C+,2.26
276,328,5,C,1.77
339,328,5,C-,1.63
364,328,5,B+,2.65
403,328,5,F,0.18
531,328,5,B-,2.43
795,328,5,C,1.93
936,328,5,A,2.62
1048,328,5,D,1.76
1053,328,5,F,1.23
130,330,5,D+,1.72
218,330,5,A-,2.81
350,330,5,D,1.97
364,330,5,C+,2.65
453,330,5,C-,2.4
582,330,5,C+,2.07
607,330,5,D+,1.48
677,330,5,C+,2.26
795,330,5,C-,1.93
831,330,5,B+,2.46
1053,330,5,C-,1.23
1057,330,5,C-,1.01
1211,330,5,C+,2.26
205,346,5,C,2.11
39,41,6,B,3.52
226,41,6,D+,2.05
237,41,6,A,3.58
272,41,6,B-,2.96
354,41,6,A,3.73
573,41,6,C-,2.27
616,41,6,B-,2.78
980,41,6,D+,2.11
431,80,6,C+,2.06
601,80,6,B+,2.78
130,98,6,B-,1.72
453,98,6,C+,2.4
677,98,6,B,2.26
205,257,6,B-,2.11
39,292,6,A,3.52
130,292,6,C,1.72
205,292,6,A,2.11
210,292,6,C+,2.6
226,292,6,A,2.05
237,292,6,A-,3.58
272,292,6,A,2.96
354,292,6,A,3.73
573,292,6,D+,2.27
601,292,6,A,2.78
616,292,6,A,2.78
677,292,6,B+,2.26
746,292,6,A,3.48
902,292,6,D,1.49
980,292,6,B,2.11
119,1,7,B+,3.55
135,1,7,B,2.97
136,1,7,B-,2.9
210,1,7,B-,2.6
226,1,7,D+,2.05
237,1,7,B+,3.58
242,1,7,C-,2.18
354,1,7,A,3.73
573,1,7,C+,2.27
601,1,7,B+,2.78
616,1,7,A-,2.78
746,1,7,A-,3.48
846,1,7,A,3.91
902,1,7,D+,1.49
980,1,7,C-,2.11
128,35,7,D+,2.71
242,35,7,C-,2.18
245,35,7,D,1.32
265,35,7,D+,1.62
308,35,7,C-,2.18
497,35,7,F(2),0
548,35,7,B-,3.12
582,35,7,D,2.07
665,35,7,A,3.59
797,35,7,C,1.71
831,35,7,W,2.46
1027,35,7,D+,2.3
1097,35,7,F,1.61
1207,35,7,B,2.92
1257,35,7,B-,2.58
1304,35,7,D,1.64
130,41,7,C-,1.72
205,41,7,C+,2.11
218,41,7,B,2.81
350,41,7,C+,1.97
677,41,7,C,2.26
1211,41,7,B-,2.26
1053,79,7,F,1.23
460,85,7,A-,2.9
1027,85,7,F,2.3
130,88,7,C+,1.72
272,88,7,B-,2.96
276,88,7,D,1.77
364,88,7,B-,2.65
431,88,7,F,2.06
504,88,7,C+,1.92
531,88,7,C+,2.43
616,88,7,B+,2.78
795,88,7,B-,1.93
1048,88,7,D,1.76
1173,88,7,C,3.26
205,98,7,F,2.11
218,98,7,B,2.81
582,98,7,B-,2.07
831,98,7,B-,2.46
1211,98,7,C,2.26
130,162,7,D,1.72
205,162,7,B+,2.11
218,162,7,C+,2.81
350,162,7,D+,1.97
364,162,7,C,2.65
453,162,7,D+,2.4
504,162,7,D+,1.92
582,162,7,C,2.07
677,162,7,C+,2.26
795,162,7,D,1.93
831,162,7,C-,2.46
1173,162,7,B+,3.26
1211,162,7,D+,2.26
1257,173,7,P,2.58
128,193,7,C,2.71
245,193,7,D+,1.32
265,193,7,C-,1.62
308,193,7,B+,2.18
460,193,7,C,2.9
497,193,7,F(2),0
548,193,7,B-,3.12
665,193,7,A,3.59
738,193,7,B-,1.8
797,193,7,C-,1.71
821,193,7,C,1.81
1027,193,7,C+,2.3
1053,193,7,F,1.23
1097,193,7,C+,1.61
1207,193,7,B-,2.92
1304,193,7,D,1.64
39,194,7,C+,3.52
119,194,7,A-,3.55
135,194,7,C,2.97
136,194,7,B-,2.9
210,194,7,C,2.6
226,194,7,D+,2.05
237,194,7,A,3.58
242,194,7,C,2.18
272,194,7,C+,2.96
354,194,7,A-,3.73
391,194,7,C,2.5
431,194,7,F,2.06
573,194,7,C-,2.27
601,194,7,B,2.78
616,194,7,C-,2.78
746,194,7,B-,3.48
846,194,7,A,3.91
902,194,7,D,1.49
980,194,7,D+,2.11
39,205,7,B,3.52
119,205,7,A,3.55
135,205,7,B,2.97
136,205,7,A-,2.9
210,205,7,D,2.6
226,205,7,C,2.05
237,205,7,B+,3.58
242,205,7,C+,2.18
272,205,7,C+,2.96
354,205,7,A,3.73
391,205,7,B-,2.5
431,205,7,F,2.06
573,205,7,C,2.27
601,205,7,B+,2.78
616,205,7,B+,2.78
746,205,7,B-,3.48
846,205,7,A,3.91
980,205,7,D,2.11
276,219,7,F,1.77
339,219,7,F,1.63
364,219,7,C,2.65
453,219,7,C,2.4
531,219,7,D,2.43
795,219,7,D+,1.93
902,219,7,F,1.49
1173,219,7,B-,3.26
128,227,7,B-,2.71
245,227,7,C-,1.32
265,227,7,C+,1.62
308,227,7,C+,2.18
460,227,7,C+,2.9
497,227,7,F(2),0
548,227,7,C-,3.12
665,227,7,C+,3.59
738,227,7,D,1.8
797,227,7,C+,1.71
821,227,7,F,1.81
1027,227,7,C,2.3
1097,227,7,C,1.61
1207,227,7,C,2.92
1304,227,7,C,1.64
39,234,7,W,3.52
119,234,7,A,3.55
136,234,7,B-,2.9
237,234,7,W,3.58
272,234,7,W,2.96
391,234,7,B-,2.5
431,234,7,F,2.06
573,234,7,W,2.27
601,234,7,A,2.78
738,234,7,D,1.8
746,234,7,A,3.48
39,243,7,B,3.52
119,243,7,B-,3.55
135,243,7,D+,2.97
136,243,7,C-,2.9
210,243,7,D+,2.6
226,243,7,D+,2.05
237,243,7,C+,3.58
242,243,7,C-,2.18
272,243,7,D+,2.96
354,243,7,A,3.73
391,243,7,C-,2.5
431,243,7,F,2.06
573,243,7,C-,2.27
601,243,7,A,2.78
616,243,7,B,2.78
746,243,7,A,3.48
846,243,7,B+,3.91
980,243,7,D+,2.11
1053,243,7,F,1.23
39,250,7,A,3.52
272,250,7,B,2.96
391,250,7,A,2.5
431,250,7,F(1),2.06
738,250,7,C-,1.8
276,257,7,D+,1.77
339,257,7,D,1.63
364,257,7,C-,2.65
504,257,7,D,1.92
531,257,7,C,2.43
795,257,7,C-,1.93
1048,257,7,C-,1.76
130,288,7,C,1.72
205,288,7,B,2.11
218,288,7,B-,2.81
350,288,7,C-,1.97
364,288,7,B-,2.65
453,288,7,C,2.4
504,288,7,B,1.92
582,288,7,B-,2.07
677,288,7,C+,2.26
738,288,7,D,1.8
795,288,7,C,1.93
831,288,7,F,2.46
1173,288,7,A,3.26
1211,288,7,B-,2.26
218,289,7,F,2.81
582,289,7,W,2.07
677,289,7,F(2),2.26
831,289,7,W,2.46
1211,289,7,F,2.26
128,305,7,B+,2.71
245,305,7,D+,1.32
265,305,7,B-,1.62
308,305,7,B+,2.18
339,305,7,F(2),1.63
497,305,7,F(2),0
548,305,7,A,3.12
665,305,7,A-,3.59
797,305,7,B-,1.71
1097,305,7,C-,1.61
1207,305,7,B+,2.92
1257,305,7,C,2.58
1304,305,7,B-,1.64
276,313,7,C+,1.77
339,313,7,C+,1.63
531,313,7,B-,2.43
1048,313,7,F,1.76
128,326,7,B+,2.71
210,326,7,W,2.6
245,326,7,D,1.32
265,326,7,C,1.62
308,326,7,C+,2.18
460,326,7,B-,2.9
548,326,7,A,3.12
665,326,7,A,3.59
797,326,7,B,1.71
821,326,7,C+,1.81
1027,326,7,B-,2.3
1053,326,7,C,1.23
1097,326,7,C-,1.61
1207,326,7,A,2.92
1304,326,7,B-,1.64
276,356,7,B,1.77
531,356,7,C,2.43
821,356,7,D+,1.81
1048,356,7,F,1.76
39,358,7,A,3.52
119,358,7,A,3.55
136,358,7,W,2.9
226,358,7,C-,2.05
237,358,7,A,3.58
242,358,7,B+,2.18
350,358,7,C,1.97
354,358,7,A,3.73
391,358,7,C-,2.5
453,358,7,B-,2.4
573,358,7,B+,2.27
601,358,7,A-,2.78
677,358,7,W,2.26
746,358,7,B+,3.48
846,358,7,A,3.91
902,358,7,C-,1.49
980,358,7,C,2.11
130,1,8,C+,1.72
205,1,8,B+,2.11
218,1,8,A,2.81
350,1,8,B+,1.97
453,1,8,A,2.4
504,1,8,B,1.92
582,1,8,B-,2.07
677,1,8,C+,2.26
831,1,8,B+,2.46
1173,1,8,A,3.26
1211,1,8,A,2.26
218,23,8,A,2.81
276,23,8,D+,1.77
391,23,8,F,2.5
460,23,8,B-,2.9
531,23,8,C+,2.43
677,23,8,B+,2.26
831,23,8,B+,2.46
1053,23,8,D+,1.23
1211,23,8,B-,2.26
487,35,8,D,1.53
1001,35,8,A,2.86
119,36,8,W,3.55
128,36,8,B+,2.71
205,36,8,D+,2.11
226,36,8,W,2.05
242,36,8,W,2.18
265,36,8,D+,1.62
276,36,8,D+,1.77
308,36,8,C-,2.18
350,36,8,B-,1.97
364,36,8,B-,2.65
453,36,8,B-,2.4
460,36,8,B-,2.9
531,36,8,B-,2.43
548,36,8,C+,3.12
573,36,8,B,2.27
665,36,8,B,3.59
795,36,8,C+,1.93
797,36,8,D+,1.71
980,36,8,W,2.11
1027,36,8,B,2.3
1048,36,8,C-,1.76
1173,36,8,B+,3.26
1207,36,8,C+,2.92
1304,36,8,F,1.64
39,78,8,A,3.52
119,78,8,A,3.55
135,78,8,A,2.97
136,78,8,A,2.9
210,78,8,C+,2.6
237,78,8,A,3.58
272,78,8,B,2.96
391,78,8,F,2.5
601,78,8,A,2.78
616,78,8,A-,2.78
746,78,8,A,3.48
846,78,8,A,3.91
39,85,8,A-,3.52
119,85,8,A-,3.55
135,85,8,B-,2.97
136,85,8,C+,2.9
210,85,8,C+,2.6
226,85,8,C+,2.05
242,85,8,B+,2.18
272,85,8,B,2.96
354,85,8,A,3.73
391,85,8,C+,2.5
431,85,8,C,2.06
573,85,8,B,2.27
601,85,8,A-,2.78
616,85,8,A,2.78
738,85,8,C,1.8
746,85,8,B,3.48
846,85,8,A,3.91
902,85,8,C+,1.49
980,85,8,C+,2.11
39,88,8,A,3.52
119,88,8,A-,3.55
135,88,8,W,2.97
136,88,8,W,2.9
226,88,8,W,2.05
237,88,8,B,3.58
354,88,8,A,3.73
431,88,8,C-,2.06
601,88,8,B+,2.78
746,88,8,A,3.48
846,88,8,A,3.91
276,98,8,C,1.77
339,98,8,C-,1.63
364,98,8,B,2.65
504,98,8,F,1.92
531,98,8,B,2.43
795,98,8,B-,1.93
1048,98,8,B-,1.76
39,105,8,B+,3.52
119,105,8,B+,3.55
135,105,8,B-,2.97
136,105,8,B,2.9
210,105,8,C-,2.6
226,105,8,C+,2.05
237,105,8,A-,3.58
242,105,8,C,2.18
272,105,8,B+,2.96
354,105,8,A,3.73
391,105,8,B,2.5
573,105,8,B-,2.27
601,105,8,A,2.78
616,105,8,A,2.78
746,105,8,A-,3.48
846,105,8,A,3.91
130,130,8,C+,1.72
242,130,8,D,2.18
350,130,8,B-,1.97
364,130,8,B,2.65
453,130,8,A,2.4
504,130,8,C+,1.92
573,130,8,C+,2.27
582,130,8,C,2.07
677,130,8,C,2.26
795,130,8,C,1.93
980,130,8,B-,2.11
1173,130,8,B,3.26
1211,130,8,B-,2.26
39,139,8,A,3.52
119,139,8,A,3.55
135,139,8,B+,2.97
136,139,8,B,2.9
210,139,8,F(2),2.6
226,139,8,C+,2.05
237,139,8,A-,3.58
242,139,8,C,2.18
272,139,8,B-,2.96
354,139,8,A,3.73
391,139,8,C,2.5
573,139,8,C,2.27
601,139,8,A,2.78
616,139,8,B+,2.78
746,139,8,A,3.48
846,139,8,A,3.91
980,139,8,D+,2.11
276,162,8,B-,1.77
531,162,8,B,2.43
821,162,8,B-,1.81
1053,162,8,F,1.23
1001,173,8,P,2.86
130,187,8,D,1.72
205,187,8,B,2.11
218,187,8,B-,2.81
350,187,8,B,1.97
364,187,8,C+,2.65
453,187,8,A,2.4
504,187,8,C-,1.92
582,187,8,F,2.07
677,187,8,C,2.26
795,187,8,D+,1.93
831,187,8,B-,2.46
902,187,8,D,1.49
1173,187,8,B+,3.26
1211,187,8,C,2.26
487,193,8,D+,1.53
1053,193,8,F(1),1.23
1257,193,8,C+,2.58
128,219,8,C-,2.71
